latitud,longitud,profundidad
-20.42,181.96,649
-19.68,184.31,195
-17.94,181.49,537
-23.55,180.8,349
-19.26,184.42,223
-22.06,180.6,584
-15.31,185.8,152
-17.7,181.7,450
-19.73,182.4,375
-19.06,182.45,477
-20.65,181.4,582
-17.9,181.5,573
-17.7,182.2,445
-23.54,179.93,574
-17.7,185,383
-17.94,181.51,601
-30.64,181.2,175
-16.9,185.72,135
-10.72,165.99,195
-18.55,182.23,563
-22.7,183.3,180
-21,183.2,296
-17.02,182.93,406
-19.51,183.97,280
-15.43,185.19,249
-17.91,181.48,555
-17.1,182.8,390
-30.3,180.8,275
-25.6,180.3,440
-20.7,186.3,80
-16.4,182.73,391
-21.6,180.5,595
-17.9,181.5,589
-28,182,199
-22.12,180.49,532
-21.62,182.4,350
-19.7,182.44,397
-18.5,185.4,243
-21.03,180.78,638
-17.8,181.2,530
-17.82,181.27,538
-25.06,182.8,133
-18.14,181.71,574
-23.49,180.06,530
-17.86,181.3,614
-17.95,181.37,642
-17.97,181.66,626
-17.66,181.4,585
-21.16,182.4,260
-20.14,181.6,587
-19.21,184.7,197
-16.98,185.61,108
-17.98,180.5,626
-20.2,180.9,627
-15.2,184.68,99
-15.03,182.29,399
-17.84,181.48,542
-20.45,181.85,534
-24.08,179.5,605
-28.25,181.71,226
-24.36,182.84,148
-23.8,179.9,498
-17.68,181.36,515
-17.32,181.03,497
-17.46,181.32,573
-23.44,182.93,158
-17.04,186.8,70
-18.4,183.4,343
-14.85,184.87,294
-17.9,181.3,593
-17.61,181.2,537
-17.14,185.31,223
-17.81,181.82,598
-19.22,182.54,570
-21.79,185,74
-17.8,181.32,539
-18.89,181.24,655
-17.6,181.5,548
-17.2,182.9,383
-25.14,178.42,554
-16.43,186.73,75
-17.78,185.33,223
-19.1,184.52,230
-21.77,181,618
-18.07,181.65,593
-20.21,181.9,576
-19.13,184.97,210
-22.1,180.4,603
-22.14,179.62,587
-15.7,185.1,70
-19.4,182.29,326
-15.85,185.9,121
-17.56,181.23,580
-15.18,185.93,77
-15.65,185.17,315
-17.93,181.89,567
-17.74,181.25,559
-18.4,181.77,600
-23.47,179.95,543
-19.69,184.23,223
-17.99,181.59,595
-20.62,181.03,650
-10.98,166.32,211
-18.75,182.35,554
-20.1,182.16,489
-21.81,181.71,323
-15.43,186.3,123
-19.72,169.71,271
-15.44,185.26,224
-19.44,183.5,293
-16.85,182.31,388
-26.13,178.31,609
-18.96,169.48,248
-19.3,183.84,517
-17.05,181.22,527
-18.84,184.16,210
-14.31,173.5,614
-20.1,184.4,186
-11.8,165.8,112
-11.75,166.07,69
-20.3,183,375
-20.36,181.19,637
-20.2,182.3,533
-26.67,182.4,186
-18.31,182.39,342
-20.37,182.1,397
-21.55,182.9,207
-19.15,169.5,150
-20.32,180.88,680
-23.81,179.36,521
-19.41,183.05,300
-20.16,181.99,504
-22.32,180.54,565
-19.3,180.6,671
-21.04,181.2,483
-27.22,182.28,65
-17.98,181.58,590
-15.83,182.51,423
-17.82,181.49,573
-17.46,181.9,417
-23.7,179.6,646
-33.2,181.6,153
-17.47,180.96,546
-23.45,180.23,520
-16.04,183.54,384
-24.03,180.22,508
-19.41,182.3,589
-15.96,166.69,150
-15.29,166.9,100
-23.12,184.42,104
-23.65,184.46,93
-25.04,180.97,393
-19.92,183.91,264
-19.6,181.87,597
-25.25,179.86,491
-21.46,181.02,584
-17.4,186.54,85
-20.48,181.38,556
-17.88,180.58,622
-18.44,181.04,624
-18.69,169.1,218
-17.61,183.32,356
-20.61,182.44,518
-13.9,167.18,221
-26.1,182.5,133
-24.89,179.67,498
-18.04,181.84,611
-10.8,165.8,175
-30.63,180.9,334
-19.2,184.37,220
-26.06,180.05,432
-20.87,181.7,560
-22.85,181.37,397
-17.08,185.96,180
-20.91,181.57,530
-18.85,182.2,501
-18.4,184.84,221
-21.2,181.4,560
-11.7,166.3,139
-22.24,180.28,601
-17.46,181.42,524
-17.44,181.33,545
-24.71,179.85,477
-19.57,184.47,202
-23.47,180.21,553
-20.77,181.16,568
-18.98,182.32,442
-21.4,180.74,613
-17.03,185.74,178
-12.37,166.93,291
-17.7,188.1,45
-17.47,179.59,622
-15.94,184.95,306
-25.82,179.33,600
-15.49,186.04,94
-24.12,180.08,493
-21.37,180.67,593
-24.2,179.2,530
-11.55,166.2,96
-23.54,180.04,564
-20.12,183.4,284
-19.66,184.31,170
-15.41,186.44,69
-19.9,178.9,81
-19.19,183.51,307
-21.3,180.82,624
-23.83,182.56,229
-24.81,180,452
-17.82,181.83,640
-24.6,183.5,67
-22.3,181.9,309
-20.41,181.74,538
-19.67,182.18,360
-21.97,182.32,261
-16.17,184.1,338
-23.55,180.27,535
-20.94,181.58,573
-24.64,180.81,397
-17.95,181.65,619
-24.78,179.22,492
-14.99,171.39,637
-27.54,182.5,68
-27.2,182.39,69
-27.71,182.47,103
-32.14,179.9,406
-20.36,186.16,102
-30.4,181.4,40
-17.95,181.5,593
-20.51,182.3,492
-25.04,180.1,481
-34.1,181.8,246
-24.19,180.38,484
-27.63,182.93,80
-12.66,166.37,165
-15.72,185.64,138
-26.46,182.5,184
-24.09,179.68,538
-23.19,182.8,237
-20.81,184.7,162
-16.95,185.94,95
-20.75,184.52,144
-20.66,185.77,69
-21.16,181.41,543
-20.65,182.22,506
-20.57,181.33,605
-20.95,181.06,611
-18.07,181.54,546
-20.08,183.22,294
-18.19,181.74,616
-17.96,181.4,655
-19.45,184.48,246
-20.97,181.72,487
-25.28,181.17,367
-20.7,184.3,182
-19.6,184.53,199
-21.63,180.77,592
-21.05,180.9,616
-20.4,186.1,74
-22.9,183.8,71
-18.11,181.63,568
-20.9,182.02,402
-23.73,183,118
-21.48,182.44,364
-30.01,181.15,210
-13.16,167.24,278
-18.94,182.43,566
-21.07,183.78,180
-19.17,169.53,268
-17.98,181.61,598
-20.83,181.01,622
-23.85,180.26,497
-12.57,166.72,137
-18.83,182.26,575
-27.99,183.5,71
-20.73,181.42,575
-15.45,181.42,409
-28.11,181.93,194
-21.44,180.69,583
-18.54,182.11,554
-21,181.66,600
-23.5,179.78,570
-22.63,180.31,598
-23.3,180.16,512
-19.84,182.37,328
-18.82,169.33,230
-24.97,179.82,511
-11.77,166.32,70
-19.85,182.13,562
-17.8,181.35,535
-17.7,181.23,546
-34.89,180.6,42
-26.2,178.35,606
-31.24,180.6,328
-29.91,181.43,205
-17.8,185.17,97
-19.88,184.3,161
-20.21,183.83,242
-16,182.82,431
-28.23,182.68,74
-29.1,182.1,179
-19.06,169.01,158
-17.88,181.47,562
-18.73,168.8,82
-19.76,181.41,105
-30.72,180.1,413
-17.95,184.68,260
-13.09,169.28,654
-17.4,181.02,479
-19.83,182.04,575
-29.5,182.31,129
-26.1,182.3,49
-27.33,182.6,42
-18.8,169.21,221
-20.31,184.06,249
-18.2,181.6,553
-13.47,167.14,226
-20.94,181.26,556
-15.7,184.5,118
-23.61,180.23,475
-21.5,185.2,139
-14.43,167.26,151
-32.7,181.7,211
-19.47,169.15,149
-21.8,183.2,325
-18.89,169.48,259
-15.66,186.8,45
-18.05,180.86,632
-20.9,181.9,556
-15.61,167.5,135
-17.68,181.11,568
-18,185.48,143
-19.6,185.2,125
-34.4,180.5,201
-15.9,185.3,57
-13.07,166.87,132
-11.76,165.96,45
-19.5,186.9,58
-15.26,183.13,393
-18.18,182.04,609
-24.96,179.87,480
-21.58,181.9,409
-22,185.5,52
-30.09,182.4,51
-12.85,165.67,75
-28.56,183.59,53
-15.48,186.73,82
-23.1,180.12,533
-15.85,184.83,299
-18.6,184.28,255
-20.16,184.27,210
-15.35,186.4,98
-25.23,179.86,476
-23.9,179.9,579
-21.56,183.23,271
-13.36,172.76,618
-18.76,169.71,287
-21.26,181.69,487
-30.51,181.3,203
-12.16,167.03,264
-19.85,184.51,184
-21.8,183.6,213
-20.74,180.7,589
-18.91,169.46,248
-12.93,169.52,663
-18.54,168.93,100
-15.5,185.3,93
-15.67,185.23,66
-15.8,185.25,82
-22.09,180.58,580
-18.1,181.63,592
-23.87,180.15,524
-15.28,185.98,162
-20.27,181.51,609
-25.79,182.38,172
-20.77,183.71,251
-28.1,183.5,42
-25.93,179.54,470
-17.83,181.5,590
-20.84,181.16,576
-20.97,181.47,582
-16.3,186,48
-18.73,169.23,206
-26.4,181.7,329
-22.7,181,445
-20.42,181.86,530
-19.86,184.35,201
-12.11,167.06,265
-23.84,180.99,367
-23.64,179.96,538
-27.24,181.11,365
-15.75,185.23,280
-19.22,182.43,571
-17.43,185.43,189
-19.52,168.98,63
-18.89,169.42,239
-17.42,185.16,206
-18.04,181.75,640
-24,182.75,175
-26.72,183.35,190
-12.95,169.09,629
-20.32,181.69,508
-23.77,180.16,505
-16.24,185.75,154
-23.84,180.13,525
-20.08,182.74,298
-14.85,167.24,97
-21.29,180.85,607
-22,180.52,561
-18.07,181.57,572
-21.34,181.41,464
-26.16,179.5,492
-23.91,180,534
-27.18,182.18,56
-25.8,182.1,68
-27.27,182.38,45
-27.27,182.5,51
-27.38,182.39,69
-18.3,183.2,103
-27.23,180.98,401
-17.68,186.8,112
-26.6,182.77,119
-20.3,182.3,476
-20.56,182.04,499
-25.31,180.15,467
-18.06,181.59,604
-19,185.6,107
-20.83,185.9,104
-23.56,180.23,474
-21.39,180.68,617
-30.24,181.63,80
-21.06,183.81,203
-12.08,165.76,63
-15.43,167.38,137
-21.31,180.84,586
-15.86,166.85,85
-16.2,166.8,98
-13.56,166.49,83
-27.75,182.26,174
-19.6,183.84,309
-17.02,182.41,420
-16.49,187.8,40
-20.49,181.69,559
-23.97,179.91,518
-21.3,180.92,617
-16.23,167.91,182
-17.94,180.6,627
-19.34,182.62,573
-20.74,181.53,598
-25,180,488
-16.11,187.48,61
-16.31,168.08,204
-19.28,182.78,348
-14.57,167.24,162
-22.06,183.95,134
-22.14,180.64,591
-24.41,180.03,500
-21.18,180.92,619
-12.27,167.41,50
-22.26,171.44,83
-21.56,185.5,47
-31.8,180.6,178
-20.45,182.1,500
-23.42,180.21,510
-23.2,184.8,97
-21.14,181.06,625
-15.83,167.1,43
-15.39,185.1,237
-25.46,179.98,479
-17.9,181.41,586
-11.38,167.05,133
-21.91,181.28,548
-24.39,178.98,562
-22.2,180.58,594
-32.14,180,331
-20.18,181.62,558
-20.99,181.02,626
-17.63,185.13,219
-17.93,181.62,561
-18.68,184.5,174
-20.97,181.2,605
-23.9,184.6,41
-15.54,187.15,60
-20.13,184.2,244
-17.4,187.8,40
-12.26,167,249
-14.72,167.51,155
-22.58,179.24,553
-17.64,181.28,574
-15.31,186.1,96
-19.23,169.41,246
-22.75,173.2,46
-11.49,166.22,84
-19.57,182.38,579
-26.2,178.41,583
-21.33,180.69,636
-20.24,169.49,100
-23.71,180.3,510
-23.95,182.8,199
-12.66,169.46,658
-11.34,166.24,103
-13.86,167.16,202
-35.56,180.2,42
-25.68,180.34,434
-15.02,184.24,339
-24.27,179.88,523
-15.85,185.13,290
-17.87,182,569
-32.2,179.61,422
-23.85,182.53,204
-18.13,181.52,618
-22.36,171.65,130
-18.11,181.67,597
-16.09,184.89,304
-14.95,167.24,130
-20.21,182.37,482
-17.44,181.4,529
-16.45,177.77,138
-20.92,181.5,546
-25.31,179.69,507
-18.64,169.32,260
-21.09,181.38,555
-21.38,181.39,501
-10.78,165.77,93
-20.76,185.77,118
-27.6,182.4,61
-27.21,182.43,55
-28.96,182.61,54
-27.18,182.53,60
-26.78,183.61,40
-15.29,186.42,153
-11.63,166.14,109
-33,182.4,176
-20.61,182.6,488
-19.83,182.54,524
-15.03,167.32,136
-18.18,180.63,639
-32.9,181.6,169
-29.09,183.2,54
-13.84,170.62,638
-20.1,186.3,63
-23.46,180.09,543
-23.46,180.17,541
-11.67,166.02,102
-15.44,167.18,140
-15.79,166.83,45
-16.28,166.94,50
-17.56,181.59,543
-16.45,167.54,125
-19.61,181.91,590
-22.06,180.47,587
-17.74,181.31,575
-20.89,181.25,599
-20.09,168.75,50
-20.95,181.42,559
-20.48,169.76,134
-28.1,182.25,68
-21.24,180.81,605
-33.03,180.2,186
-23.93,180.18,525
-21.23,181.09,613
-20.72,181.41,595
-38.46,176.03,148
-22.87,171.72,47
-27.6,182.1,154
-18.12,181.71,594
-15.97,186.08,143
-25.48,180.94,390
-23.73,179.98,524
-22.16,180.49,586
-20.3,181.4,608
-20.63,181.61,599
-22.1,185.3,50
-22.55,183.34,66
-25.04,179.84,474
-21.85,180.89,577
-18.1,181.72,544
-21.75,180.67,595
-21.78,183.11,225
-19.64,169.5,204
-23.39,179.97,541
-22.33,171.51,112
-23.92,180.21,524
-20.88,185.18,51
-19.94,182.39,544
-30.39,182.4,63
-28.74,181.74,211
-30.2,182,125
-16.32,166.74,50
-37.37,176.78,263
-20.69,181.55,582
-17.1,184.93,286
-21.5,170.5,117
-13.36,167.06,236
-24.57,179.92,484
-21.88,180.39,608
-33,181.6,72
-13.47,172.29,64
-22.05,180.4,606
-16.24,168.02,53
-15.54,167.68,140
-20.65,181.32,597
-23.43,180,553
-18.56,169.31,223
-16.23,183.59,367
-30.28,180.62,350
-30.66,180.13,411
-16.52,185.7,90
-19.4,180.94,664
-13.44,166.53,44
-15.5,186.9,46
-10.97,166.26,180
-19.18,169.33,254
-20.9,181.51,548
-24.4,179.85,522
-21.13,185.32,123
-16.44,185.74,126
-23.3,179.7,500
-27.1,182.18,43
-27.27,182.36,65
-11.64,166.47,130
-30.8,182.16,41
-15.36,167.51,123
-32.6,180.9,57
-20.58,181.24,602
-23.33,180.26,530
-16.1,185.32,257
-21.05,184.68,136
-22.28,183.52,90
-16.96,167.7,45
-31.94,180.57,168
-19.14,184.36,269
-11.81,165.98,51
-26.54,183.63,66
-16.99,187,70
-15.17,187.2,50
-26.18,179.79,460
-24.68,183.33,70
-33.57,180.8,51
-16.1,167.25,68
-17.7,181.31,549
-15.08,166.62,42
-23.28,184.61,76
-23.92,184.47,40
-20.04,181.87,577
-13.62,167.15,209
-23.89,182.39,243
-23.07,184.03,89
-32.82,179.8,176
-17.99,168.98,234
-33.29,181.3,60
-34.63,179.1,278
-34.12,181.75,75
-20.81,185.01,79
-14.28,170.34,642
-23.11,179.15,564
-15.45,186.73,83
-18.35,185.27,201
-22.42,171.4,86
-23.5,180,550
-17.97,181.48,578
-26.02,181.2,361
-15.4,186.87,78
-38.59,175.7,162
-11.37,166.55,188
-22.33,171.46,119
-27.87,183.4,87
-20.07,181.75,582
-19.36,186.36,100
-17.38,168.63,209
-13.79,166.56,68
-14.82,171.17,658
-21.4,180.78,615
-23.08,183.45,90
-25.81,182.54,201
-17.95,181.73,583
-23.5,184.9,61
-23.73,184.49,60
-27.08,183.44,63
-21.71,183.58,234
-24.1,184.5,68
-22.95,170.56,42
-16,184.53,108
-12.28,167.06,248
-20.42,181.62,562
-11.7,166.1,82
-15.55,185.05,292
-26.11,178.3,617
-14.6,167.4,178
-14.65,166.97,82
-27.72,181.7,94
-24.34,179.52,504
-35.48,179.9,59
-24.96,180.22,470
-18.2,183.68,107
-13.34,166.2,67
-19.68,184.14,242
-32.62,181.5,55
-14.82,167.32,123
-27.38,181.7,80
-27.17,183.68,44
-22.24,184.56,99
-20.07,169.14,66
-19.7,186.2,47
-26.16,178.47,537
-17.97,168.52,146
-16.03,185.43,297
-18.49,169.04,211
-30.04,181.2,49
-18.89,184.46,242
-23.28,184.6,44
-15.71,166.91,58
-20.33,168.71,40
-23.44,184.6,63
-18.85,187.55,44
-15.9,167.16,41
-16.62,186.74,82
-12.72,166.28,70
-24.5,180.92,377
-22.75,170.99,67
-17.78,181.53,511
-18.48,182.37,376
-28.56,183.47,48
-23.29,184,164
-18.17,181.98,651
-30.01,180.8,286
-18.26,180.98,631
-23.82,180.09,498
-24.97,182.85,137
-23.47,180.24,511
-14.3,167.32,208
-21.22,181.51,524
-16.21,186.52,111
-13.4,166.9,228
-24.33,179.97,510
-17.99,181.62,574
-25.63,180.26,464
-18.78,186.72,68
-12.01,166.66,99
-19.1,169.63,266
-22.03,179.77,587
-12.57,167.11,231
-14.1,166.01,69
-27.84,182.1,193
-23.7,184.13,51
-15.78,167.44,40
-23.5,180.13,512
-15.86,166.98,60
-22.7,170.3,69
-30.1,182.3,56
-20.68,181.41,593
-25.2,182.6,149
-21.27,173.49,48
-20.9,169.84,93
-17.67,187.09,45
-19.85,181.85,576
-22.43,184.48,65
-13.65,166.66,71
-19.62,185.35,57
-22.5,170.4,106
-23.79,179.89,526
-26.17,184.2,65
-22.09,180.38,590
-22,180.53,583
-13.05,169.58,644
-21.48,183.78,200
-12.59,167.1,325
-12.49,166.36,74
-12.01,166.29,59
-27,183.88,56
-21.04,181.2,591
-32.42,181.21,47
-21.07,181.13,594
-16.51,187.1,62
-25.59,180.02,485
-17.99,181.57,579
-30.69,182.1,62
-12.84,166.78,150
-21.24,180.86,615
-21.57,185.62,66
-22.04,184.91,47
-22.37,171.5,116
-19.19,182.3,390
-10.78,166.1,195
-20.54,181.66,559
-21.47,185.86,55
-26.53,178.3,605
-20.64,169.66,89
-26,178.43,644
-21.08,181.3,557
-24.97,179.54,505
-11.02,167.01,62
-21.29,185.8,69
-15.24,185.11,262
-33.09,180.94,47
-10.96,165.97,76
-14.86,167.32,137
-20.88,184.95,82
-18.56,169.05,217
-23.3,184.68,102
-23,170.7,43
-28.22,183.6,75
-20.05,183.86,243
-13.82,172.38,613
-21.96,179.62,627
-36.95,177.81,146
-26.53,178.57,600
-13.23,167.1,220
-34.2,179.43,40
-22.64,180.64,544
-23.73,182.53,232
-22.34,171.52,106
-21.68,180.63,617
-16.65,185.51,218
-23.33,180.18,528
-20.6,182.28,529
-18.48,181.49,641
-15.24,186.21,158
-16.4,185.86,148
-12.25,166.6,219
-21.54,185.48,51
-17.79,181.32,587
-25.5,182.82,124
-14.32,167.33,204
-15.87,188.13,52
-18,180.62,636
-10.79,166.06,142
-15.61,187.15,49
-20.41,186.51,63
-12.05,167.39,332
-28.15,183.4,57
-23.46,180.11,539
-20.93,181.54,564
-18.07,181.58,603
-18.04,181.57,587
-26.5,178.29,609
-19.3,183,302
-24.04,184.85,70
-23.61,180.27,537
-21.19,181.58,490
-23.8,184.7,42
-18.97,169.44,242
-25.42,182.65,102
-22.23,180.48,581
-12,166.2,94
-21.35,170.04,56
-22.82,184.52,49
-19.3,185.86,48
-20.56,184.41,138
-20.82,181.67,577
-18.97,185.25,129
-15.48,167.53,128
-13.66,166.54,50
-17.93,167.89,49
-16.14,187.32,42
-17.8,181.38,587
-19.02,184.23,270
-12.93,169.63,641
-23.49,179.07,544
-22.19,171.4,150
-20.43,182.37,502
-23.73,179.99,527
-17.59,181.09,536
-19.77,181.4,630
-15.36,186.66,112
-16.24,167.95,188
-20.04,182.01,605
-28.83,181.66,221
-14.28,167.26,211
-22.1,179.71,579
-22.55,183.81,82
-20.85,181.59,499
-29.9,181.16,215
-13.26,167.01,213
-27.28,183.4,70
-11.25,166.36,130
-23.31,179.27,566
-15.65,186.26,64
-20.06,168.69,49
-23.78,180.31,518
-22.87,172.65,56
-17.59,180.98,548
-17.74,186.78,104
-21.44,170.45,166
-12.34,167.43,50
-21.57,183.86,156
-20.24,185.1,86
-15,184.62,40
-20.89,185.26,54
-21.55,181.39,513
-28.05,182.39,117
-21.52,169.75,61
-27.64,182.22,162
-16.46,180.79,498
-23.74,179.99,506
-34.02,180.21,75
-20.64,182.02,497
-18.16,183.41,306
-17.72,180.3,595
-21.96,180.54,603
-19.13,182.51,579
-21.79,183.48,210
-18.08,180.7,628
-23.58,183.4,94
-17.71,181.18,574
-14.46,167.26,195
-18.51,182.64,405
-27.98,181.96,53
-18.21,180.87,631
-18.8,182.41,385
-17.64,177.01,545
-17.98,181.51,586
-19.02,186.83,45
-31.03,181.59,57
-19.34,186.59,56
-21.6,169.9,43
-15.18,167.23,71
-26.72,182.69,162
-21.53,170.52,129
-22.41,183.99,128
-23.75,184.5,54
-22.33,171.66,125
-28.98,181.11,304
-13.66,172.23,46
-23.58,180.17,462
-19.89,183.84,244
-20.02,184.09,234
-14.7,166,48
-23.36,180.01,553
-18.77,169.24,218
-11.41,166.24,83
-19.1,183.87,61
-17.72,181.42,565
-13.45,170.3,641
-21.92,182.8,273
-24.18,179.02,550
-15.34,167.1,128
-18.92,169.37,248
-21.29,185.77,57
-21.13,185.6,85
-13.7,166.75,46
-14.12,166.64,63
-15.99,167.95,190
-26,184.1,42
-19.66,180.28,431
-20.47,185.68,93
-18.6,181.91,442
-27.19,182.18,69
-21.98,179.6,583
-19.89,184.08,219
-26.18,178.59,548
-23.53,179.99,538
-37.93,177.47,65
-15.95,167.34,47
-11.54,166.18,89
-18.12,181.88,649
-17.1,185.9,127
-38.28,177.1,100
-29.33,182.72,57
-19.33,186.16,44
-23.6,183.99,118
-22.04,183.95,109
-23.95,184.64,43
-15.46,187.81,40
-30.17,182.02,56
-17.1,182.68,403
-15.36,186.71,130
-21.11,181.5,538
-22.54,172.91,54
-20.9,184.28,58
-32.45,181.15,41
-15.77,167.01,64
-15.9,167.42,40
-18.14,180.87,624
-13.8,166.53,42
-27.89,182.92,87
-35.94,178.52,138
-26,182.12,205
-24.57,178.4,562
-34.68,179.82,75
-18.82,182.21,417
-37.03,177.52,153
-11.4,166.07,93
-15.93,167.91,183
-17.85,181.44,589
-20.25,184.75,107
-22.55,185.9,42
-23.34,184.5,56
-32.22,180.2,216
-22.13,180.38,577
-15.33,186.75,48
-17.84,181.3,535
-19.89,174.46,546
-21.14,174.21,40
-22.91,183.95,64
-21.08,180.85,627
